ticker,broker,shares,cost_basis_per_share,purchase_date,notes
AAPL,ETrade,26.257,172.8015,2024-03-21,
ABBV,ETrade,7.158,193.5513,2025-04-28,
ARQT,ETrade,36.0,13.86,2025-01-23,
CEG,ETrade,2.014,285.3774,2025-01-29,
COST,ETrade,1.009,984.8959,2025-01-31,
EAT,ETrade,10.0,181.58,2025-01-31,
ELTP,ETrade,747.0,0.6695,2025-06-09,
ELV,ETrade,2.043,410.793,2025-04-28,
GOOG,ETrade,15.071,191.3303,2025-02-05,
LAC,ETrade,200.0,3.4179,2025-01-16,
MSFT,ETrade,11.17,428.6607,2024-03-21,
NEM,ETrade,39.164,50.9976,2020-10-26,
NVDA,ETrade,47.54,42.1742,2020-10-26,
OKLO,ETrade,37.0,54.27,2025-02-10,
ORCL,ETrade,2.34,63.1709,2020-10-26,
ROKU,ETrade,15.0,84.2107,2025-01-29,
TSM,ETrade,6.073,217.3407,2025-01-16,
UWMC,ETrade,359.235,6.3969,2021-03-03,
VST,ETrade,7.049,179.0112,2025-01-23,
ASTS,Webull,14,25.28,,
BYDDY,Webull,54,16.05,,
BYND,Webull,20,5.77,,
CELH,Webull,5,34.11,,
CLOV,Webull,33,3.08,,
DNN,Webull,100,1.91,,
ESNT,Webull,9.07721,60.59,,
GAP,Webull,24,23.05,,
GLD,Webull,0.34824,221.11,,
GOOG,Webull,4,299.96,,
INDA,Webull,20,53.29,,
IVOO,Webull,5,99.79,,
LAC,Webull,1685.0347,5.39,,
LAR,Webull,290,2.51,,
LLY,Webull,1,889.65,,
MP,Webull,7,75.93,,
NBIS,Webull,4,67.96,,
NVDA,Webull,0.4015,104.06,,
NVO,Webull,23,63.61,,
OSCR,Webull,6,17.06,,
PZZA,Webull,10,52.79,,
RIO,Webull,25,61.62,,
RIVN,Webull,8,18.75,,
RKLB,Webull,23.28217,30.68,,
TER,Webull,1,363.95,,
TSLA,Webull,0.38953,226.82,,
U,Webull,13,37.49,,
URNJ,Webull,10,23.18,,
UUUU,Webull,237.72126,19.74,,
VOOG,Webull,36,53.79,,
VT,Webull,52.00265,141.63,,
VXRT,Webull,800,0.6683,,
XLRE,Webull,18,41.28,,
