ticker,first_trigger_date,trigger_price,mention_count_at_trigger,source_breakdown,paper_ids,notes
ALB,2026-05-11,,5,news:5,reuters_via_google:4b9fb43a4dee;reuters_via_google:8fe7b2a0b1f0;reuters_via_google:714525373c6e;reuters_via_google:1a9aa7324b0d;reuters_via_google:a11752cab07d,
AMZN,2026-05-11,,4,"news:1, research:3",2605.00121;2605.08758;2604.28057;hn:48094641,
ASML,2026-05-16,,3,news:3,reuters_via_google:a739b055605b;reuters_via_google:68f047ab15c8;reuters_via_google:3667803cdf9e,
COHR,2026-05-13,,3,research:3,2605.08425;2605.00214;2605.13359,
GM,2026-05-11,,3,"news:2, research:1",2605.00556;reuters_via_google:4f1962547856;reuters_via_google:1a9aa7324b0d,
GOOGL,2026-05-11,,3,"news:2, research:1",2605.00121;hn:48100706;hn:48094641,
IONQ,2026-05-09,,7,research:7,2605.04025;2605.03951;2605.06579;2605.06312;2605.06284;2605.06101;2605.06146,
ISRG,2026-05-09,,4,research:4,2605.0461;2605.04408;2605.06222;2605.05925,
LAC,2026-05-11,,20,news:20,npr:94ec1fc5b11d;npr:07b246172e95;reuters_via_google:ae977e651942;reuters_via_google:cbd51f725d32;reuters_via_google:8abcb2937a4e;reuters_via_google:a37b73c0d308;reuters_via_google:4b9fb43a4dee;reuters_via_google:52c5f69faba9;reuters_via_google:4468b0f41eae;reuters_via_google:be9c2a3f7148;reuters_via_google:33993c0a634e;reuters_via_google:8fe7b2a0b1f0;reuters_via_google:714525373c6e;reuters_via_google:fe60a3537107;reuters_via_google:4f1962547856;reuters_via_google:1a9aa7324b0d;reuters_via_google:a11752cab07d;reuters_via_google:4d930b396bad;reuters_via_google:b8ea9d4bbb31;reuters_via_google:097162bc5fac,
MBLY,2026-05-11,,4,research:4,2605.04366;2605.00556;2605.09171;2605.08713,
MSFT,2026-05-11,,5,news:5,reuters_via_google:50e2bb7bc90e;hn:48100706;hn:48094641;reuters_via_google:83204b16d6be;reuters_via_google:b8ea9d4bbb31,
NVDA,2026-05-09,,3,"news:1, research:2",2605.04647;2605.06593;fed:9f1b1539a8d4,
QUBT,2026-05-11,,3,research:3,2605.04025;2605.06101;2605.00626,
RGTI,2026-05-09,,5,research:5,2605.04025;2605.06579;2605.06284;2605.06101;2605.06146,
SDGR,2026-05-11,,3,research:3,2605.0336;2604.26498;2604.25244,
SYM,2026-05-13,,3,research:3,2605.00244;2605.08758;2605.13067,
TER,2026-05-09,,4,research:4,2605.00416;2605.04649;2605.06222;2605.05925,
TSLA,2026-05-11,,4,news:4,reuters_via_google:ae977e651942;reuters_via_google:0ae619c3ce4d;reuters_via_google:29db16d2baaa;reuters_via_google:714525373c6e,
VTI,2026-05-17,,3,news:3,reuters_via_google:1757a41a91e0;reuters_via_google:9ddaf1c053b9;reuters_via_google:e4c500b40f72,
AMAT,2026-05-18,,3,news:3,reuters_via_google:3667803cdf9e;reuters_via_google:710f7c2030a0;reuters_via_google:e70157131ea8,
LMT,2026-05-20,,4,news:4,reuters_via_google:8ae72aa0b08b;reuters_via_google:30b4c847c077;reuters_via_google:6b934bb95f8c;reuters_via_google:e705640552b4,
RTX,2026-05-20,,4,news:4,reuters_via_google:8ae72aa0b08b;reuters_via_google:30b4c847c077;reuters_via_google:6b934bb95f8c;reuters_via_google:e705640552b4,
IBM,2026-05-22,,3,"news:2, research:1",2605.21346;hn:48230049;reuters_via_google:61b3e87109bb,
META,2026-05-22,,3,news:3,reuters_via_google:c7960e828850;reuters_via_google:a4726e091072;reuters_via_google:f506f00245c4,
